Movie Name,IMDb ID
Ramaiya Vastavaiya,tt2357926
Dhanak,tt4088588
Mubarakan,tt6272828
Double Dhamaal,tt1728239
Kaun?,tt0195002
Margarita with a Straw,tt2929690
Yaadein (2001 film),tt0357716
Jazbaa,tt4323504
Bhoot,tt0341266
Zinda,tt0488906
Lucky: No Time for Love,tt0449306
Aakrosh (2010 film),null
Eklavya: The Royal Guard,tt0459605
1942: A Love Story,tt0109010
Raaz: The Mystery Continues,tt1340838
Pushpaka Vimana (1987 film),tt0251355
Humsafar,tt2403201
Kyaa Kool Hai Hum,tt0456500
Action Jackson (2014 film),tt0403935
Manto (2018 film),tt12205916
Pataakha,tt8396128
Kabul Express,tt0770214
Welcome to Sajjanpur,tt1221139
Tum Bin,tt5717110
Chakravyuh (2012 film),null
Dus,nm0180411
Jhoom Barabar Jhoom,tt0833476
Pyaar Ke Side Effects,tt0480572
Ghatak: Lethal,tt0116407
Baabul (2006 film),null
Pyaar Impossible!,tt1351224
Chalo Dilli,tt1884268
Shiva (1990 film),tt26236714
Parinda,tt0102636
Satte Pe Satta,tt0084630
The Chess Players,tt0076696
F.A.L.T.U,tt25503524
Tevar,tt3398048
Jaani Dushman: Ek Anokhi Kahani,tt0326983
Ekk Deewana Tha,tt2126282
Darna Mana Hai,tt0349333
Humraaz,tt0326576
Total Siyapaa,tt2727028
Dulhan Hum Le Jayenge,tt0247992
Damini,tt0106655
Aaja Nachle,tt0986213
Sadma,tt0086230
Khalnayak,tt0107311
Simran,nm0801264
Zakhm,tt14781024
Raabta,tt5542802
The Shaukeens,tt3848888
Aan: Men at Work,tt0363409
Chal Mere Bhai,tt0245825
Dil Dosti Etc,tt1099196
Sanam Re,tt4262516
Pyaar To Hona Hi Tha,tt0173081
1920,tt1301698
Bbuddah... Hoga Terra Baap,tt1869296
King Uncle,tt0107321
Chance Pe Dance,tt1392744
Na Tum Jaano Na Hum,tt0248216
Haseena Maan Jaayegi,tt0267548
Katti Batti,tt4467262
Dolly Ki Doli,tt4332114
Aladin,tt1227762
Dilwale (1994 film),null
Brij Mohan Amar Rahe,tt6514010
99 (2009 film),tt11989824
Ragini MMS 2,tt2609218
Apne,tt0814014
Being Cyrus,tt0412308
Main Aurr Mrs Khanna,tt1174041
Raaz (2002 film),tt26111852
Mickey Virus,tt2796318
Chaahat (1996 film),null
Sulemani Keeda,tt2679480
What's Your Raashee?,tt1242530
Khamoshi: The Musical,tt0116763
Bade Miyan Chote Miyan,tt18072316
Phobia (2016 film),null
Haasil,tt0362696
Hum,tt0102071
Munna Michael,tt6117702
Sharaabi,tt0088099
Photograph,tt7778680
Tumko Na Bhool Paayenge,tt0310254
Abhimaan (1973 film),null
Lamhe,tt0102258
Rascals (2011 film),tt1666305
Pinjar,tt0347779
Freaky Ali,tt5943306
Sooryavansham,tt0214178
Shool,tt0220757
Lajja (2001 film),tt17300422
Inkaar (2013 film),null
Sunday (2008 film),tt28979483
Begum Jaan,tt5785116
Mastizaade,tt3726012
Silsila (1981 film),null
Jaanwar (1999 film),null
U Me Aur Hum,tt1039995
Sonchiriya,tt8108200
Muqaddar Ka Sikandar,tt0079590
Traffic (2016 film),tt27127344
Dulha Mil Gaya,tt1182884
Jai Gangaajal,tt4979082
Trimurti (1995 film),null
Thackeray,tt7777196
Virasat (1997 film),null
Ragini MMS,tt7392222
Lucknow Central,tt5697870
Shree 420,tt0048613
Dosti: Friends Forever,tt0449228
Chandni Bar,tt0267363
LOC Kargil,tt0347416
Border (1997 film),tt12453420
Shaan,nm3459555
Deewangee,tt0337971
Soldier (1998 Indian film),null
Drona (2008 film),tt1388320
Running Shaadi,tt6296236
Taarzan: The Wonder Car,tt0435437
Namaste England,tt7607940
One Two Three,tt28818121
Fida,tt0422236
Raja Babu,tt0110942
Rann,tt1451797
The Stoneman Murders,tt1183946
Luck (2009 film),tt1235536
Bewafaa (2005 film),null
Murder 3,tt2429640
Kalyug (2005 film),null
Hero No. 1,tt0119285
Bank Chor,tt3611266
Jab Pyaar Kisise Hota Hai,tt0182251
Laaga Chunari Mein Daag,tt0985636
Goal (2007 Hindi film),tt23544642
Love Story 2050,tt0490170
Deewana Mastana,tt0118957
Coolie No. 1 (1995 film),tt0101616
Breakaway (2011 film),null
Kuch Naa Kaho,tt0369637
Andaaz,tt0346507
Aap Mujhe Achche Lagne Lage,tt0247911
Thoda Pyaar Thoda Magic,tt1191138
Guddu,nm4449711
Honeymoon Travels Pvt. Ltd.,tt0808306
Namak Halaal,tt0084385
Dulhe Raja,tt0210659
Pukar (2000 film),tt1746536
Chashme Buddoor (1981 film),tt0082162
Halla Bol,tt0892874
Singh Saab the Great,tt2437954
Hero (2015 Hindi film),tt24499072
Bumboo,tt2265191
3 Deewarein,tt0338490
MP3: Mera Pehla Pehla Pyaar,tt0860454
English Babu Desi Mem,tt0136153
Great Grand Masti,tt4675030
Tezz,nm1954240
Yeh Hai Jalwa,tt0328671
Laawaris (1981 film),null
Baazi (1995 film),tt26204436
Ram Lakhan,tt0098168
Indian (2001 film),tt16288816
Jodi No.1,tt3425064
Kaalakaandi,tt6102396
Qayamat: City Under Threat,tt0364621
Gulaab Gang,tt2573750
Judaai (1997 film),null
No Problem (2010 film),tt7807412
Mere Yaar Ki Shaadi Hai,tt0322653
Maya Memsaab,tt28657747
The Japanese Wife,tt1439455
Viruddh... Family Comes First,tt0420304
Jism (2003 film),tt28175967
Bobby Jasoos,tt3359290
Jeet (1996 film),tt0194751
Kaala Patthar,tt0079386
Major Saab,tt0172761
International Khiladi,tt0196635
Hate Story 2,tt3619772
Saand Ki Aankh,tt8108206
The Hero: Love Story of a Spy,tt0347167
Heroes (2008 film),tt0426592
Vaah! Life Ho Toh Aisi!,tt0475645
Why Cheat India,tt8108208
Haunted – 3D,tt1695843
Karz,nm0440342
Lafangey Parindey,tt1606267
Buddha in a Traffic Jam,tt1890363
Sehar,tt0477857
Bhopal: A Prayer for Rain,tt0839742
Knock Out (2010 film),tt12507810
Matrubhoomi,tt0379375
Section 375,tt8144834
Jhankaar Beats,tt0347278
Krazzy 4,tt1182908
Corporate (2006 film),tt7624434
Rok Sako To Rok Lo,tt0423087
Dharam Sankat Mein,tt4354740
Mitron,tt8852558
Chameli,tt0383975
Kaagaz Ke Phool,tt0052954
Zamaana Deewana,tt0115042
Firaaq,tt1263679
Maachis,tt0116950
Main Meri Patni Aur Woh,tt0485513
404,tt9169784
Coolie (1983 Hindi film),null
Kya Kehna,tt0250483
Game (2011 film),tt2291230
Chef (2017 film),tt8057322
Chocolate (2005 film),tt0367594
Khichdi: The Movie,tt1738293
Hello (2008 film),tt1388320
Rock On 2,tt2137241
Marigold (2007 film),null
Yaadon Ki Baaraat,tt0070935
Kya Dilli Kya Lahore,tt2063745
Umrao Jaan (2006 film),tt12466656
Prince (2010 film),tt4907076
Prahaar: The Final Attack,tt0102701
Aalavandhan,tt0294264
Shakti (1982 film),null
Youngistaan,tt3514330
Kabhie Kabhie (1976 film),tt0074730
Refugee (2000 film),null
Jhootha Hi Sahi,tt1322257
Bichhoo,tt0252277
Kahin Pyaar Na Ho Jaaye (2000 film),tt0268401
Zeher,tt0451983
Mere Baap Pehle Aap,tt1170404
Om Jai Jagadish,tt0327071
Fool & Final,nm0943956
Tezaab,tt0096252
Darna Zaroori Hai,tt0476649
Rang Rasiya,tt1239276
Cash (2007 film),tt1049245
Apna Sapna Money Money,tt0493437
Kyo Kii... Main Jhuth Nahin Bolta,tt0297241
Sarkar 3,tt5742874
Crook,nm0188871
Raju Chacha,tt0271748
Ek Aur Ek Gyarah,tt0354538
Deshdrohi,tt14845934
The Blue Umbrella (2005 film),tt0457802
Dil Maange More,tt21362746
Khuda Gawah,tt0104607
The Sky Is Pink,tt8902990
Krantiveer,tt0110280
Aval (2017 film),tt9736962
Hamara Dil Aapke Paas Hai,tt0255212
Shagird (2011 film),null
Karma (1986 film),tt0093181
Missing (2018 film),tt3499792
Shahenshah (1988 film),null
Laila Majnu (2018 film),null
Aankhen (1993 film),null
Dushman (1998 film),null
Beyond the Clouds (2017 film),tt3224288
Kyun! Ho Gaya Na...,tt0349703
Style (2001 film),tt3258742
Milenge Milenge,tt0443331
Well Done Abba,tt1397492
Tridev,tt0100816
Musafir (2004 film),null
Jalebi,tt8426854
Khiladi 420,tt0255305
Soni,nm4175221
Phir Milenge,tt0422950
1920: The Evil Returns,tt2222550
Akaash Vani,tt2423132
Pihu,tt8458202
Sixteen (2013 Indian film),tt14942288
Mirzya,tt4940456
Devdas (1955 film),null
Ek Paheli Leela,tt4500734
Brahman Naman,tt5240748
Suhaag (1994 film),null
Aiyyaa,tt2255934
Saaransh,tt0088031
Hawaa Hawaai,tt3501994
Mr. X (2015 film),tt27487512
Do Aankhen Barah Haath,tt0050322
Aap Kaa Surroor,tt0995840
Jewel Thief,tt27447330
Raaz: Reboot,tt5639388
Good Boy Bad Boy,tt0489486
Do Bigha Zamin,tt0045693
Samay: When Time Strikes,tt0384491
Seeta Aur Geeta,tt0078222
Bhoomi,tt6265988
Yeh Lamhe Judaai Ke,tt0385351
Aks (2001 film),tt0272685
Makdee,tt0341455
Behen Hogi Teri,tt6537508
Gandhi My Father,tt0459293
Babumoshai Bandookbaaz,tt6711660
Union Leader,tt6395306
Hawaizaada,tt4338154
Dil Hai Tumhaara,tt0328998
Bobby (1973 film),null
Bandhan (1998 film),null
Nishabd,tt0824375
Waiting (2015 film),tt6357780
Tango Charlie,tt0444913
Hadh Kar Di Aapne,tt0244528
Hotel Salvation,tt5997928
Ek Ajnabee,tt0457875
Revolver Rani,tt3290688
Delhi Safari,tt1172587
Dil Ka Rishta,tt0330217
Army (1996 film),tt24734526
Dum (2003 Hindi film),tt28059709
Jaanam Samjha Karo,tt0226847
Alone (2015 Hindi film),null
Aa Ab Laut Chalen,tt0149568
Hisss,tt1244093
Aradhana (1969 film),null
Khushi (2003 Hindi film),null
Oh Darling! Yeh Hai India!,tt0114031
India's Most Wanted,tt8484942
Dus Kahaniyaan,tt0823451
Ujda Chaman,tt11046300
Yaarana (1981 film),null
Ardh Satya,tt0085178
Chandni,tt0097045
